Epoch	--Time	--TrainLoss	--TrainmAP	--ValmAP	
0	12/01-08:14:28	48.637292347848415	0.0	-	
0	12/01-08:15:52	42.25257784128189	0.0	-	
0	12/01-08:17:17	37.81260224059224	0.0	-	
0	12/01-08:18:43	36.63487499579787	0.0	-	
0	12/01-08:20:08	37.41823835298419	0.0	-	
0	12/01-08:21:34	33.35115034133196	0.0	-	
0	12/01-08:22:58	37.24506590515375	0.030000000000000006	-	
0	12/01-08:24:24	38.54798851534724	0.02	-	
0	12/01-08:25:50	33.939783461391926	0.02	-	
0	12/01-08:27:18	34.11588491871953	0.01	-	
0	12/01-08:28:44	33.333704341202974	0.030000000000000006	-	
0	12/01-08:30:10	30.533024109899998	0.06	-	
0	12/01-08:31:37	29.95832357555628	0.02	-	
0	12/01-08:33:03	32.183879520744085	0.05	-	
0	12/01-08:34:28	31.011877581477165	0.07	-	
0	12/01-08:35:54	32.64641389250755	0.07	-	
0	12/01-08:37:20	31.064595095813274	0.08	-	
0	12/01-08:38:46	30.577341094613075	0.07999999999999999	-	
0	12/01-08:40:13	36.61214839667082	0.04	-	
0	12/01-08:41:40	30.324989929795265	0.06	-	
0	12/01-08:43:07	31.74441633746028	0.08	-	
0	12/01-08:44:34	30.669940169900656	0.12000000000000002	-	
0	12/01-08:46:01	28.983887750655413	0.14	-	
0	12/01-08:47:28	28.368206694722176	0.07999999999999999	-	
0	12/01-08:48:55	25.06657037883997	0.14	-	
0	12/01-08:50:23	25.215917266905308	0.19	-	
0	12/01-08:51:50	29.376456514000893	0.09	-	
0	12/01-08:53:17	29.59212986752391	0.1	-	
0	12/01-08:54:44	28.09529658406973	0.22000000000000003	-	
0	12/01-08:56:12	27.59661292657256	0.17	-	
0	12/01-08:57:38	25.095664896070957	0.25	-	
0	12/01-08:59:05	25.32576210796833	0.22999999999999998	-	
0	12/01-09:00:33	24.48866842314601	0.30999999999999994	-	
0	12/01-09:02:00	24.36818554997444	0.12	-	
0	12/01-09:03:28	27.44011115282774	0.2	-	
0	12/01-09:04:55	24.630757980048656	0.2	-	
0	12/01-09:06:24	28.084665536880493	0.24	-	
0	12/01-09:07:51	20.047319121658802	0.12000000000000002	-	
0	12/01-09:09:19	22.235687356442213	0.22999999999999998	-	
0	12/01-09:10:47	27.683628723025322	0.02	-	
0	12/01-09:12:13	28.126153629273176	0.19	-	
0	12/01-09:13:41	23.017267230898142	0.38	-	
0	12/01-09:15:08	29.34575779363513	0.08	-	
0	12/01-09:16:36	22.33135048300028	0.22999999999999998	-	
0	12/01-09:18:03	26.9791460596025	0.26	-	
0	12/01-09:19:30	24.09206237643957	0.28	-	
0	12/01-09:20:57	26.077390648424625	0.23000000000000004	-	
0	12/01-09:22:24	26.592710055410862	0.16	-	
0	12/01-09:23:52	24.331561289727688	0.26	-	
0	12/01-09:25:19	22.00809307396412	0.14	-	
0	12/01-09:34:27	22.00809307396412	-	0.21011212095472692	
0	12/01-09:35:53	26.41314873471856	0.22000000000000003	-	
0	12/01-09:37:18	21.565868519246578	0.29	-	
0	12/01-09:38:41	21.420540288090706	0.38	-	
0	12/01-09:40:06	23.038501385599375	0.19	-	
0	12/01-09:41:30	23.448606953024864	0.2	-	
0	12/01-09:42:54	23.00797961652279	0.27999999999999997	-	
0	12/01-09:44:19	24.916185066103935	0.21000000000000002	-	
0	12/01-09:45:44	26.004768442362547	0.25	-	
0	12/01-09:47:08	26.131561025977135	0.26999999999999996	-	
0	12/01-09:48:32	19.95198894292116	0.42000000000000004	-	
0	12/01-09:49:57	21.226508542895317	0.33999999999999997	-	
0	12/01-09:51:22	23.028512950986624	0.27	-	
0	12/01-09:52:47	23.686224594712257	0.39	-	
0	12/01-09:54:12	23.74173142015934	0.25	-	
0	12/01-09:55:37	22.479863837361336	0.26	-	
0	12/01-09:57:01	20.952066406607628	0.32999999999999996	-	
0	12/01-09:58:26	20.5408432520926	0.33	-	
0	12/01-09:59:51	21.20811026543379	0.32	-	
0	12/01-10:01:15	20.62658779323101	0.54	-	
